#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 02 20 30 999 99.0 99.0  0.45  3.64  3.27 303 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 21 00 999 99.0 99.0  0.45  3.64  3.37 287 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 21 30 999 99.0 99.0  0.53  7.69  3.67 282 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 22 00 999 99.0 99.0  0.48  8.00  3.42 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 22 30 999 99.0 99.0  0.49  3.77  3.28 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 23 00 999 99.0 99.0  0.62  3.57  3.34 289 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 23 30 999 99.0 99.0  0.66  4.17  3.42 284 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 00 00 999 99.0 99.0  0.64  4.26  3.40 281 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 00 30 999 99.0 99.0  0.70  4.08  3.51 281 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 01 00 999 99.0 99.0  0.74  4.08  3.23 278 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 01 30 999 99.0 99.0  0.84  4.26  3.33 287 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 02 00 999 99.0 99.0  0.87  4.08  3.29 286 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 02 30 999 99.0 99.0  0.91  4.17  3.42 274 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 03 00 999 99.0 99.0  0.94  4.26  3.43 275 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 03 30 999 99.0 99.0  0.90  4.08  3.36 268 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 04 00 999 99.0 99.0  0.86  8.00  3.25 286 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 04 30 999 99.0 99.0  0.80  3.64  3.34 283 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 05 00 999 99.0 99.0  0.80  6.25  3.32 300 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 05 30 999 99.0 99.0  0.80  7.14  3.23 307 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 06 00 999 99.0 99.0  0.69  5.88  3.33 283 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 06 30 999 99.0 99.0  0.59  5.88  3.82 286 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 03 07 00 999 99.0 99.0  0.57  6.67  4.76 301 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 03 07 30 999 99.0 99.0  0.63  6.90  5.47 297 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 03 08 00 999 99.0 99.0  0.68  7.14  5.57 302 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 03 08 30 999 99.0 99.0  0.63  6.67  5.19 306 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 03 09 00 999 99.0 99.0  0.64  6.67  5.12 309 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 03 09 30 999 99.0 99.0  0.62  6.67  4.66 310 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 03 10 00 999 99.0 99.0  0.48  7.14  3.25 313 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 03 10 30 999 99.0 99.0  0.54  7.41  2.85 301 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 03 11 00 999 99.0 99.0  0.49  4.17  2.82 303 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 03 11 30 999 99.0 99.0  0.56  4.35  2.94 306 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 12 00 999 99.0 99.0  0.59  3.92  3.40 304 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 12 30 999 99.0 99.0  0.60  4.08  3.33 305 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 13 00 999 99.0 99.0  0.61  4.26  3.33 313 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 13 30 999 99.0 99.0  0.61  4.00  3.25 315 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 14 00 999 99.0 99.0  0.64  3.85  3.20 313 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 14 30 999 99.0 99.0  0.78  4.44  3.31 320 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 15 00 999 99.0 99.0  0.84  4.17  3.26 314 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 15 30 999 99.0 99.0  0.84  4.35  3.35 309 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 16 00 999 99.0 99.0  0.96  4.65  3.58 314 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 16 30 999 99.0 99.0  0.93  4.26  3.71 292 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 03 17 00 999 99.0 99.0  0.88  4.44  3.69 294 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 17 30 999 99.0 99.0  0.85  4.17  3.59 296 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 18 00 999 99.0 99.0  0.80  3.85  3.56 291 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 18 30 999 99.0 99.0  0.93  4.17  3.53 294 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 19 00 999 99.0 99.0  1.02  4.08  3.68 292 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 19 30 999 99.0 99.0  0.89  4.44  3.47 288 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 20 00 999 99.0 99.0  0.89  4.17  3.49 284 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 20 30 999 99.0 99.0  0.94  4.17  3.59 281 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 21 00 999 99.0 99.0  0.79  4.88  3.56 287 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 21 30 999 99.0 99.0  0.89  4.17  3.63 282 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 22 00 999 99.0 99.0  1.02  4.26  4.01 286 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 22 30 999 99.0 99.0  1.19  4.76  4.32 283 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 03 23 00 999 99.0 99.0  1.26  5.26  4.55 293 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 03 23 30 999 99.0 99.0  1.15  5.56  4.39 284 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 00 00 999 99.0 99.0  1.65  5.88  4.85 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 00 30 999 99.0 99.0  1.51  6.25  5.04 292 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 01 00 999 99.0 99.0  1.34  5.71  4.75 294 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 01 30 999 99.0 99.0  1.28  5.88  4.87 279 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 02 00 999 99.0 99.0  1.24  6.06  4.82 278 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 02 30 999 99.0 99.0  1.04  5.88  4.58 286 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 03 00 999 99.0 99.0  0.97  5.71  4.31 282 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 03 30 999 99.0 99.0  0.97  5.41  4.15 274 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 04 00 999 99.0 99.0  0.87  5.26  3.73 268 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 04 30 999 99.0 99.0  0.79  4.76  3.60 269 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 05 00 999 99.0 99.0  0.75  5.71  3.56 282 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 05 30 999 99.0 99.0  0.66  5.41  3.62 286 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 04 06 00 999 99.0 99.0  0.55  5.56  3.54 276 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 04 06 30 999 99.0 99.0  0.47  5.26  4.22 291 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 07 00 999 99.0 99.0  0.41  5.88  4.41 292 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 07 30 999 99.0 99.0  0.45  5.41  4.78 295 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 04 08 00 999 99.0 99.0  0.55  5.56  4.73 304 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 08 30 999 99.0 99.0  0.58  5.71  4.56 302 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 09 00 999 99.0 99.0  0.49  5.56  4.34 302 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 09 30 999 99.0 99.0  0.57  5.56  4.77 297 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 10 00 999 99.0 99.0  0.44  5.71  4.55 299 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 10 30 999 99.0 99.0  0.39  6.06  4.66 303 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 11 00 999 99.0 99.0  0.33  5.71  4.41 303 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 04 11 30 999 99.0 99.0  0.33  5.88  4.17 299 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 12 00 999 99.0 99.0  0.31  6.06  3.70 299 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 12 30 999 99.0 99.0  0.31  6.25  3.80 298 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 13 00 999 99.0 99.0  0.29  6.67  4.62 299 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 13 30 999 99.0 99.0  0.22 99.00  3.57 999 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 14 00 999 99.0 99.0  0.27  7.14  3.57 323 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 14 30 999 99.0 99.0  0.35  6.25  3.68 303 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 04 15 00 999 99.0 99.0  0.42  6.25  3.59 307 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 15 30 999 99.0 99.0  0.41  6.25  3.50 310 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 16 00 999 99.0 99.0  0.41  5.88  3.74 306 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 16 30 999 99.0 99.0  0.35  5.88  3.35 313 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 17 00 999 99.0 99.0  0.29  6.25  3.30 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 04 17 30 999 99.0 99.0  0.27  5.88  3.63 291 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 18 00 999 99.0 99.0  0.28  5.88  3.47 298 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 18 30 999 99.0 99.0  0.28  5.71  2.94 300 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 19 00 999 99.0 99.0  0.33  5.13  2.56 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 19 30 999 99.0 99.0  0.30  6.06  2.58 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 20 00 999 99.0 99.0  0.35  2.74  2.45  78 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 20 30 999 99.0 99.0  0.42  2.82  2.61  78 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 21 00 999 99.0 99.0  0.47  3.17  2.85  80 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 04 21 30 999 99.0 99.0  0.47  6.67  2.78 295 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 22 00 999 99.0 99.0  0.46  6.67  2.87 285 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 22 30 999 99.0 99.0  0.46  6.90  2.74 283 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 04 23 00 999 99.0 99.0  0.46  3.03  2.70  65 9999.0 999.0   8.5 999.0 99.0 99.00
