#YY  MM DD hh WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2004 07 11 05 218  2.6  3.2  0.93 16.00  7.07 231 1019.3  12.6  11.2  11.9 99.0 99.00
2004 07 11 06 212  2.4  2.7  0.93 12.12  6.98 268 1019.6  12.5  11.2  11.9 99.0 99.00
2004 07 11 07 207  2.6  3.0  0.97 16.00  7.16 233 1019.5  12.3  11.4  11.7 99.0 99.00
2004 07 11 08 206  2.9  3.5  0.92 16.00  7.25 234 1019.7  12.3  11.4  11.8 99.0 99.00
2004 07 11 09 206  3.3  3.9  0.95 12.12  7.45 266 1019.8  12.2  11.1  11.6 99.0 99.00
2004 07 11 10 199  2.7  3.1  0.91 12.12  7.60 272 1020.0  12.0  11.1  11.4 99.0 99.00
2004 07 11 11 199  2.7  3.1  0.90 12.90  7.55 268 1020.0  12.1  11.2  11.5 99.0 99.00
2004 07 11 13 201  2.3  2.8  0.86 12.12  7.11 265 1020.2  12.0  10.9  11.4 99.0 99.00
2004 07 11 14 194  2.8  3.3  0.86 14.81  7.11 224 1020.2  12.0  11.1  11.4 99.0 99.00
2004 07 11 15 127  1.9  2.2  0.85 14.81  6.54 233 1020.6  11.7  10.6  11.1 99.0 99.00
2004 07 11 16  90  0.8  1.2  0.86 14.81  6.35 229 1020.8  11.4  11.0  10.9 99.0 99.00
2004 07 11 17 296  0.5  0.7  0.82 14.81  6.49 228 1021.1  11.7  10.8  11.3 99.0 99.00
2004 07 11 18 304  0.3  0.6  0.82 12.12  6.47 267 1021.3  12.6  10.8  12.4 99.0 99.00
2004 07 11 19 205  1.0  1.7  0.85 14.81  6.41 229 1021.7  12.6  11.7  12.2 99.0 99.00
2004 07 11 20 210  0.4  0.7  0.83 12.12  6.52 252 1022.0  13.2  12.1  12.5 99.0 99.00
2004 07 11 21 199  1.3  1.7  0.91 12.12  6.74 265 1021.9  13.2  12.2  12.7 99.0 99.00
2004 07 11 22 209  0.8  1.2  0.88 11.43  6.52 269 1021.6  13.8  12.9  13.0 99.0 99.00
2004 07 11 23 239  2.7  3.1  0.91 14.81  7.45 228 1021.5  13.6  12.7  12.8 99.0 99.00
2004 07 12 00 322  1.7  2.2  0.90 11.43  7.18 275 1021.2  13.3  12.8  12.8 99.0 99.00
2004 07 12 01 311  3.1  3.7  0.84 14.81  7.04 211 1020.9  13.7  12.6  12.5 99.0 99.00
2004 07 12 02 316  2.7  3.2  0.84 14.81  6.59 211 1020.4  13.5  12.7  12.6 99.0 99.00
2004 07 12 03 299  3.2  3.6  0.71 11.43  6.82 267 1020.0  13.0  10.6  12.4 99.0 99.00
2004 07 12 04 301  3.7  4.4  0.69 13.79  6.94 230 1019.3  12.8  11.2  12.1 99.0 99.00
2004 07 12 05 313  2.7  3.2  0.65 14.81  7.43 224 1019.1  12.7  11.1  11.9 99.0 99.00
2004 07 12 06 335  2.1  2.6  0.64 14.81  6.28 220 1018.7  12.2  12.1  11.4 99.0 99.00
2004 07 12 07 107  1.7  2.2  0.73 14.81  5.57 216 1018.5  12.8  12.0  11.6 99.0 99.00
2004 07 12 08  95  2.4  3.0  0.67 14.81  6.28 232 1018.3  12.1  11.7  11.3 99.0 99.00
2004 07 12 09  74  0.7  1.2  0.69 14.81  6.57 206 1018.0  11.6  11.6  11.0 99.0 99.00
2004 07 12 10 110  1.1  1.8  0.68 13.79  6.83 231 1017.5  12.3  11.3  11.5 99.0 99.00
2004 07 12 11  54  0.9  1.4  0.70 14.81  6.91 231 1017.3  13.2  11.2  11.5 99.0 99.00
2004 07 12 12  78  4.0  4.5  0.73 14.81  7.21 214 1017.1  11.7  11.0  10.7 99.0 99.00
2004 07 12 13  97  2.4  3.3  0.79 13.79  6.95 210 1016.9  11.4  10.9  10.8 99.0 99.00
2004 07 12 14 126  4.0  5.3  0.80 13.79  6.76 221 1016.5  12.1  10.9  10.9 99.0 99.00
2004 07 12 15  96  2.7  3.4  0.78 14.81  6.51 212 1016.6  11.8  11.2  11.3 99.0 99.00
2004 07 12 16  88  3.7  4.2  0.84 14.81  6.10 215 1016.4  12.8  11.4  11.2 99.0 99.00
2004 07 12 17  79  4.4  5.0  0.78 13.79  6.06 226 1015.9  13.8  11.4  11.3 99.0 99.00
2004 07 12 18  83  4.1  4.7  0.82 13.79  5.93 221 1015.4  13.8  12.0  11.8 99.0 99.00
2004 07 12 19  53  3.8  4.7  0.75 13.79  6.20 223 1015.1  13.3  12.0  11.8 99.0 99.00
2004 07 12 20  60  6.0  6.6  0.72 14.81  5.20 233 1014.5  13.7  11.9  11.9 99.0 99.00
2004 07 12 21  71  6.7  7.3  0.73 10.81  5.40 272 1013.9  14.7  11.9  12.0 99.0 99.00
2004 07 12 22  63  5.4  6.0  0.74 11.43  5.36 252 1013.5  14.7  12.2  12.1 99.0 99.00
2004 07 12 23  50  5.3  6.3  0.82  5.88  5.70 286 1013.0  15.7  12.3  11.9 99.0 99.00
2004 07 13 00  48  3.9  4.4  0.83 13.79  5.97 206 1012.3  15.6  12.5  11.6 99.0 99.00
2004 07 13 01  84  4.5  5.1  0.79  5.88  5.85 285 1011.8  15.6  12.3  11.5 99.0 99.00
2004 07 13 02  69  4.7  5.2  0.79  5.88  5.94 291 1011.3  16.6  12.5  11.2 99.0 99.00
2004 07 13 03 342  3.6  4.5  0.73 13.79  5.73 214 1011.1  15.1  12.1  11.8 99.0 99.00
2004 07 13 04 337  3.4  4.2  0.89  5.88  5.72 280 1010.8  14.3  12.3  11.8 99.0 99.00
2004 07 13 05 346  3.6  4.1  0.74  6.25  5.96 277 1010.7  14.7  12.2  11.9 99.0 99.00
2004 07 13 06 350  1.9  2.4  0.79 13.79  6.27 213 1010.8  14.4  12.5  12.0 99.0 99.00
2004 07 13 07 353  1.0  1.2  0.88  6.67  6.22 282 1010.9  14.2  12.2  12.5 99.0 99.00
2004 07 13 08  87  2.4  2.8  0.96  6.67  6.08 290 1010.5  14.0  11.9  12.2 99.0 99.00
2004 07 13 09 113  2.6  3.2  0.96  7.14  6.24 288 1010.6  14.2  12.0  12.2 99.0 99.00
2004 07 13 10  76  4.4  5.0  0.90  7.14  6.13 286 1010.7  14.1  11.9  11.6 99.0 99.00
2004 07 13 11 100  3.5  4.7  0.95  7.14  6.25 284 1011.0  14.2  11.6  11.1 99.0 99.00
2004 07 13 12 175  2.6  4.1  0.99  7.14  6.35 287 1011.5  13.0  11.8  11.0 99.0 99.00
2004 07 13 13 202  2.2  2.6  1.03  6.67  6.31 284 1011.9  13.5  11.4  11.8 99.0 99.00
2004 07 13 14 208  3.9  5.3  1.10  6.67  6.21 281 1012.1  11.9  10.9  11.2 99.0 99.00
2004 07 13 15 201  7.6  9.3  1.16  6.67  5.76 279 1012.6  11.9  10.9  11.4 99.0 99.00
